Country,City,Monthly_Rent_1BR_Center,Monthly_Rent_1BR_Outside,Monthly_Transport_Pass,Monthly_Transport_Taxi,Monthly_Utilities,Monthly_Internet,Monthly_Groceries,Monthly_Dining_Out,Monthly_Entertainment,Cost_of_Living_Index
USA,New York,3500,2500,127,500,200,60,400,600,300,100
USA,San Francisco,3200,2400,95,450,180,60,380,550,280,98
USA,Boston,2800,2000,90,400,170,60,350,500,250,92
UK,London,2200,1600,180,400,160,45,300,450,250,88
UK,Manchester,1200,900,70,250,140,40,250,350,200,75
UK,Edinburgh,1300,950,60,240,145,40,260,360,210,76
Germany,Berlin,1200,800,86,300,200,35,250,350,200,70
Germany,Munich,1400,1000,86,320,210,35,270,380,220,75
Germany,Hamburg,1100,800,86,290,190,35,240,340,190,69
Japan,Tokyo,1800,1200,90,350,180,45,300,400,250,85
Japan,Osaka,1200,800,80,300,160,45,280,350,220,75
Japan,Kyoto,1100,750,75,280,155,45,270,340,210,73
Canada,Toronto,2000,1500,156,350,150,60,320,450,250,80
Canada,Vancouver,2200,1600,98,360,155,60,330,460,260,82
Canada,Montreal,1200,900,85,300,140,60,280,380,220,75
Australia,Sydney,2200,1600,180,400,180,70,350,500,280,85
Australia,Melbourne,1800,1300,150,350,170,70,320,450,250,80
Australia,Brisbane,1500,1100,130,320,160,70,300,400,230,75
Singapore,Singapore,2500,1800,80,300,150,40,350,450,300,90
Netherlands,Amsterdam,1800,1300,100,350,180,45,300,400,250,80
Sweden,Stockholm,1400,1000,90,320,160,40,280,380,220,75
Switzerland,Zurich,2200,1600,85,400,200,60,350,500,300,95
Ireland,Dublin,1800,1300,120,350,180,50,320,450,250,82 
